DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,IF_DELAY
-11.0,1448,-22.0,0
-8.0,2330,-9.0,0
-2.0,2296,5.0,0
-5.0,2342,-9.0,0
-1.0,1448,-21.0,0
-5.0,1589,8.0,0
-6.0,1299,-17.0,0
14.0,2125,-10.0,0
-11.0,1464,-13.0,0
3.0,1747,-15.0,0
-6.0,1199,-30.0,0
-8.0,2174,-10.0,0
0.0,1535,-4.0,0
-6.0,1590,-22.0,0
-1.0,1399,8.0,0
-4.0,1448,-14.0,0
-14.0,1448,-24.0,0
-6.0,1635,-7.0,0
-4.0,1542,-18.0,0
-5.0,1426,-12.0,0
25.0,1139,6.0,0
-8.0,2724,1.0,0
-1.0,1055,-1.0,0
-2.0,2342,-12.0,0
-3.0,1299,-23.0,0
-3.0,1379,-11.0,0
-8.0,1533,-3.0,0
12.0,1487,25.0,1
-10.0,1916,-31.0,0
21.0,1709,2.0,0
72.0,1440,43.0,1
-11.0,1972,-16.0,0
-6.0,1590,10.0,1
-4.0,1222,-4.0,0
0.0,2762,15.0,1
-9.0,2552,-10.0,0
3.0,1608,-11.0,0
-15.0,1448,-35.0,0
-2.0,1598,11.0,1
-16.0,1334,-33.0,0
-1.0,868,1.0,0
-10.0,1542,-11.0,0
-5.0,1176,-11.0,0
-14.0,1608,4.0,0
-11.0,1773,-36.0,0
-11.0,1448,-12.0,0
-7.0,1179,-9.0,0
-1.0,1585,6.0,0
-3.0,1129,20.0,1
-14.0,1674,-16.0,0
95.0,1189,85.0,1
4.0,1129,-7.0,0
-11.0,1179,-1.0,0
72.0,1666,89.0,1
-1.0,1440,3.0,0
-4.0,224,0.0,0
-8.0,216,-6.0,0
13.0,363,9.0,0
-1.0,163,5.0,0
-8.0,1448,-14.0,0
-11.0,100,-11.0,0
4.0,925,11.0,1
-3.0,192,-11.0,0
-4.0,738,-10.0,0
-10.0,174,0.0,0
-2.0,257,-4.0,0
-5.0,1107,-2.0,0
108.0,1121,102.0,1
-5.0,1258,2.0,0
2.0,984,13.0,1
60.0,1009,60.0,1
58.0,964,54.0,1
-9.0,456,-6.0,0
-3.0,308,-5.0,0
-6.0,250,-15.0,0
5.0,522,3.0,0
-3.0,199,9.0,0
-10.0,102,-12.0,0
0.0,214,5.0,0
2.0,1325,6.0,0
4.0,991,4.0,0
-1.0,1024,-1.0,0
53.0,641,66.0,1
-3.0,84,-14.0,0
-4.0,861,-18.0,0
-4.0,1182,-25.0,0
-4.0,996,13.0,1
19.0,967,26.0,1
7.0,888,3.0,0
6.0,1190,14.0,1
-5.0,301,-15.0,0
-7.0,273,-25.0,0
43.0,1598,19.0,1
-12.0,201,-21.0,0
-5.0,346,-18.0,0
15.0,235,-3.0,0
-5.0,209,0.0,0
56.0,909,78.0,1
-3.0,1242,-16.0,0
-4.0,369,-21.0,0
-11.0,867,-33.0,0
148.0,1671,128.0,1
6.0,692,-15.0,0
-3.0,632,-21.0,0
16.0,534,14.0,1
-9.0,820,-14.0,0
-2.0,964,25.0,1
-3.0,1195,-16.0,0
-2.0,458,7.0,0
-10.0,826,-11.0,0
-2.0,237,-21.0,0
-3.0,836,-6.0,0
-4.0,1874,11.0,1
5.0,1208,-7.0,0
-6.0,247,-12.0,0
55.0,1089,69.0,1
6.0,1197,-9.0,0
-2.0,187,-13.0,0
0.0,1576,-19.0,0
18.0,731,-2.0,0
-5.0,628,1.0,0
36.0,896,17.0,1
-7.0,680,-8.0,0
73.0,862,56.0,1
-3.0,916,10.0,1
-8.0,163,-6.0,0
-9.0,395,-6.0,0
-3.0,2434,-35.0,0
-5.0,1488,4.0,0
0.0,862,-9.0,0
39.0,1091,43.0,1
2.0,200,-19.0,0
0.0,602,-10.0,0
-6.0,1044,-5.0,0
-2.0,190,-1.0,0
10.0,1235,2.0,0
0.0,153,0.0,0
-2.0,937,-7.0,0
-2.0,643,1.0,0
-7.0,326,-19.0,0
-2.0,1157,13.0,1
6.0,845,20.0,1
7.0,1482,-19.0,0
15.0,781,21.0,1
-1.0,898,6.0,0
-2.0,1173,9.0,0
0.0,694,-17.0,0
-2.0,967,-2.0,0
2.0,2218,4.0,0
-6.0,997,-13.0,0
0.0,1660,16.0,1
-4.0,1562,-10.0,0
-5.0,209,-13.0,0
-5.0,264,-17.0,0
-9.0,102,-9.0,0
-1.0,403,-12.0,0
0.0,179,6.0,0
-18.0,445,-22.0,0
-9.0,733,27.0,1
-2.0,1379,-16.0,0
-7.0,1085,-13.0,0
119.0,819,116.0,1
-4.0,680,-23.0,0
-5.0,956,-3.0,0
111.0,1009,123.0,1
0.0,861,-1.0,0
3.0,937,-18.0,0
